,title,release_year,runtime_min,genre,rating,gross_usd_mil
1398,Three Colors: Blue,1993,94,"Drama, Music, Mystery, Drama, Music, Mystery, Drama, Music, Mystery",7.9,1.32
1280,The Nightmare Before Christmas,1993,76,"Animation, Family, Fantasy, Animation, Family, Fantasy, Animation, Family, Fantasy",7.9,75.08
1512,A Bronx Tale,1993,121,"Crime, Drama, Crime, Drama",7.8,17.27
1588,The Sandlot,1993,101,"Comedy, Drama, Family, Comedy, Drama, Family, Comedy, Drama, Family",7.8,32.42
741,Farewell My Concubine,1993,171,"Drama, Music, Romance, Drama, Music, Romance, Drama, Music, Romance",8.1,5.22
2042,What's Eating Gilbert Grape,1993,118,Drama,7.7,9.17
1207,True Romance,1993,119,"Crime, Drama, Romance, Crime, Drama, Romance, Crime, Drama, Romance",7.9,12.28
2155,Malcolm X,1992,202,"Biography, Drama, History, Biography, Drama, History, Biography, Drama, History",7.7,48.17
266,Reservoir Dogs,1992,99,"Crime, Thriller, Crime, Thriller",8.3,2.83
936,Scent of a Woman,1992,156,Drama,8.0,63.9
2116,Glengarry Glen Ross,1992,100,"Crime, Drama, Mystery, Crime, Drama, Mystery, Crime, Drama, Mystery",7.7,10.73
414,Unforgiven,1992,130,"Drama, Western, Drama, Western",8.2,101.16
2205,Porco Rosso,1992,94,"Animation, Adventure, Comedy, Animation, Adventure, Comedy, Animation, Adventure, Comedy",7.7,0.0
1989,The Last of the Mohicans,1992,112,"Action, Adventure, Drama, Action, Adventure, Drama, Action, Adventure, Drama",7.7,75.51
2321,The Muppet Christmas Carol,1992,85,"Comedy, Drama, Family, Comedy, Drama, Family, Comedy, Drama, Family",7.7,27.28
1976,A Few Good Men,1992,138,"Drama, Thriller, Drama, Thriller",7.7,141.34
2370,My Cousin Vinny,1992,120,"Comedy, Crime, Comedy, Crime",7.6,52.93
926,Aladdin,1992,90,"Animation, Adventure, Comedy, Animation, Adventure, Comedy, Animation, Adventure, Comedy",8.0,217.35
2240,Hard Boiled,1992,128,"Action, Crime, Thriller, Action, Crime, Thriller, Action, Crime, Thriller",7.7,0.0
956,JFK,1991,189,"Drama, History, Thriller, Drama, History, Thriller, Drama, History, Thriller",8.0,70.41
802,Raise the Red Lantern,1991,125,"Drama, Romance, Drama, Romance",8.1,2.6
2261,The Double Life of Véronique,1991,98,"Drama, Fantasy, Music, Drama, Fantasy, Music, Drama, Fantasy, Music",7.7,2.0
944,Beauty and the Beast,1991,84,"Animation, Family, Fantasy, Drama, Fantasy, Romance, Animation, Family, Fantasy, Drama, Fantasy, Romance, Animation, Family, Fantasy, Drama, Fantasy, Romance, Animation, Family, Fantasy, Drama, Fantasy, Romance, Animation, Family, Fantasy, Drama, Fantasy, Romance, Animation, Family, Fantasy, Drama, Fantasy, Romance",8.0,218.97
2243,Night on Earth,1991,129,"Comedy, Drama, Comedy, Drama",7.7,2.02
65,The Silence of the Lambs,1991,118,"Crime, Drama, Thriller, Crime, Drama, Thriller, Crime, Drama, Thriller",8.6,130.74
1657,Boyz n the Hood,1991,112,"Crime, Drama, Crime, Drama",7.8,57.5
2499,Barton Fink,1991,116,"Comedy, Drama, Thriller, Comedy, Drama, Thriller, Comedy, Drama, Thriller",7.6,6.15
